GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ClassInfo,rmv.oop.task4.service,ClassInfoService,5,234,3,9,3,42,3,8,0,5
ClassInfo,rmv.oop.task4,Main,5,18,0,0,2,4,1,2,1,2
ClassInfo,rmv.oop.task4.classLoader,CustomClassLoader,52,0,2,0,12,0,3,0,2,0
ClassInfo,rmv.oop.task4.model,TestClass2,2,0,0,0,1,0,1,0,1,0
